Product Name,Segment,Country,City,State,Category,Sub-Category,Sales,Discount,Profit,Cluster
invisibleSHIELD by ZAGG Smudge-Free Screen Protector,Corporate,United States,Philadelphia,Pennsylvania,Technology,Phones,-0.316867,1.18095,-0.103904,3
DAX Natural Wood-Tone Poster Frame,Corporate,United States,Philadelphia,Pennsylvania,Furniture,Furnishings,-0.300844,0.212153,-0.086162,1
Xerox 1887,Consumer,United States,Los Angeles,California,Office Supplies,Paper,-0.338388,-0.756643,-0.083464,0
"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",Corporate,United States,San Francisco,California,Furniture,Furnishings,-0.345047,-0.756643,-0.095764,0
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",Corporate,United States,Philadelphia,Pennsylvania,Office Supplies,Appliances,-0.209524,0.212153,-0.069358,1
Xerox 210,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Paper,-0.35219,0.212153,-0.106844,1
Electrix Halogen Magnifier Lamp,Consumer,United States,Philadelphia,Pennsylvania,Furniture,Furnishings,0.130007,0.212153,-0.0228,2
"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",Consumer,United States,Indianapolis,Indiana,Office Supplies,Paper,-0.315153,-0.756643,-0.056649,0
Economy Binders,Consumer,United States,Indianapolis,Indiana,Office Supplies,Binders,-0.352139,-0.756643,-0.100581,0
Advantus Panel Wall Acrylic Frame,Consumer,United States,Columbus,Ohio,Furniture,Furnishings,-0.333718,0.212153,-0.095482,1
Memorex Mini Travel Drive 4 GB USB 2.0 Flash Drive,Home Office,United States,Plano,Texas,Technology,Accessories,-0.346979,0.212153,-0.107077,1
Memorex Micro Travel Drive 16 GB,Home Office,United States,Bayonne,New Jersey,Technology,Accessories,-0.266198,-0.756643,-0.037692,0
Tuff Stuff Recycled Round Ring Binders,Home Office,United States,Bayonne,New Jersey,Office Supplies,Binders,-0.345625,-0.756643,-0.092088,0
netTALK DUO VoIP Telephone Service,Home Office,United States,Bayonne,New Jersey,Technology,Phones,-0.200377,-0.756643,0.101743,0
Belkin F9G930V10-GRY 9 Outlet Surge,Consumer,United States,Los Angeles,California,Office Supplies,Appliances,-0.1972,-0.756643,0.010081,0
Avery 497,Consumer,United States,Los Angeles,California,Office Supplies,Labels,-0.334232,-0.756643,-0.078157,0
GBC Plastic Binding Combs,Consumer,United States,New York City,New York,Office Supplies,Binders,-0.34988,0.212153,-0.104063,1
Easy-staple paper,Consumer,United States,New York City,New York,Office Supplies,Paper,-0.352845,-0.756643,-0.102352,0
Staples,Home Office,United States,San Diego,California,Office Supplies,Fasteners,-0.34901,-0.756643,-0.097556,0
Avery 500,Consumer,United States,San Francisco,California,Office Supplies,Labels,-0.29845,-0.756643,-0.034334,0
Geemarc AmpliPOWER60,Consumer,United States,San Francisco,California,Technology,Phones,-0.130578,0.212153,-0.051027,1
"""While you Were Out"" Message Book, One Form per Page",Consumer,United States,San Francisco,California,Office Supplies,Paper,-0.356921,-0.756643,-0.106498,0
"Global Leather Task Chair, Black",Consumer,United States,San Francisco,California,Furniture,Chairs,-0.253309,0.212153,-0.126177,1
4009 Highlighters by Sanford,Consumer,United States,San Francisco,California,Office Supplies,Art,-0.336896,-0.756643,-0.094301,0
Rediform Voice Mail Log Books,Consumer,United States,Houston,Texas,Office Supplies,Paper,-0.345875,0.212153,-0.100963,1
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Consumer,United States,San Francisco,California,Furniture,Bookcases,0.12485,-0.030046,-0.184143,2
Tuff Stuff Recycled Round Ring Binders,Consumer,United States,New York City,New York,Office Supplies,Binders,-0.356452,0.212153,-0.110401,1
Belkin Premiere Surge Master II 8-outlet surge protector,Consumer,United States,New York City,New York,Office Supplies,Appliances,0.020927,-0.756643,0.178375,0
Safco Industrial Wire Shelving System,Consumer,United States,New York City,New York,Office Supplies,Storage,0.361099,-0.756643,-0.122336,0
Nu-Dell Float Frame 11 x 14 1/2,Consumer,United States,New York City,New York,Furniture,Furnishings,-0.31119,-0.756643,-0.057932,0
"DAX Value U-Channel Document Frames, Easel Back",Consumer,United States,New York City,New York,Furniture,Furnishings,-0.305028,-0.756643,-0.069718,0
Recycled Easel Ring Binders,Consumer,United States,New York City,New York,Office Supplies,Binders,-0.292217,0.212153,-0.058642,1
Apple iPhone 5C,Consumer,United States,Chicago,Illinois,Technology,Phones,-0.112119,0.212153,-0.071113,2
Logitech G600 MMO Gaming Mouse,Consumer,United States,Chicago,Illinois,Technology,Accessories,0.041896,0.212153,0.096209,2
Avanti 4.4 Cu. Ft. Refrigerator,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Appliances,0.328128,0.212153,0.063088,2
Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Appliances,-0.363127,0.212153,-0.12044,1
Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Appliances,-0.226288,0.212153,-0.089154,1
Micro Innovations USB RF Wireless Keyboard with Mouse,Consumer,United States,Springfield,Virginia,Technology,Accessories,-0.208368,-0.756643,-0.032687,0
Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,Consumer,United States,Springfield,Virginia,Office Supplies,Labels,-0.356263,-0.756643,-0.10696,0
White GlueTop Scratch Pads,Corporate,United States,Fayetteville,North Carolina,Office Supplies,Paper,-0.214376,0.212153,0.011212,1
Xerox 195,Corporate,United States,Fayetteville,North Carolina,Office Supplies,Paper,-0.351677,0.212153,-0.106366,1
"Fellowes Strictly Business Drawer File, Letter/Legal Size",Consumer,United States,Dallas,Texas,Office Supplies,Storage,0.173587,0.212153,-0.266644,2
Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Consumer,United States,Dallas,Texas,Office Supplies,Art,-0.121336,0.212153,-0.04826,1
Holmes HEPA Air Purifier,Consumer,United States,Jacksonville,North Carolina,Office Supplies,Appliances,-0.31291,0.212153,-0.094442,1
Samsung Replacement EH64AVFWE Premium Headset,Consumer,United States,Jacksonville,North Carolina,Technology,Phones,-0.333526,0.212153,-0.116466,1
Newell 322,Consumer,United States,Jacksonville,North Carolina,Office Supplies,Art,-0.361818,0.212153,-0.120704,1
Sterilite Officeware Hinged File Box,Corporate,United States,San Francisco,California,Office Supplies,Storage,-0.318379,-0.756643,-0.086097,0
Kingston Digital DataTraveler 16GB USB 2.0,Corporate,United States,San Francisco,California,Technology,Accessories,-0.340105,-0.756643,-0.107817,0
"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",Corporate,United States,San Francisco,California,Technology,Accessories,-0.161113,-0.756643,0.076607,0
Avery 494,Home Office,United States,San Diego,California,Office Supplies,Labels,-0.335323,-0.756643,-0.081333,0
Xerox 231,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Paper,-0.335554,0.212153,-0.091353,1
"Stacking Tray, Side-Loading, Legal, Smoke",Consumer,United States,Philadelphia,Pennsylvania,Furniture,Furnishings,-0.357325,0.212153,-0.118128,1
Eldon Shelf Savers Cubes and Bins,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Storage,-0.350907,0.212153,-0.133063,1
Sanford Liquid Accent Highlighters,Consumer,United States,Rochester,New York,Office Supplies,Art,-0.34739,-0.756643,-0.101233,0
Easy-staple paper,Consumer,United States,Jacksonville,North Carolina,Office Supplies,Paper,-0.352345,0.212153,-0.108632,1
Xerox 1985,Home Office,United States,Houston,Texas,Office Supplies,Paper,-0.35219,0.212153,-0.106844,1
12 Colored Short Pencils,Home Office,United States,Houston,Texas,Office Supplies,Art,-0.358814,0.212153,-0.120005,1
Hon 2111 Invitation Series Straight Table,Home Office,United States,San Antonio,Texas,Furniture,Tables,-0.036739,0.696552,-0.261174,3
C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Consumer,United States,Oakland,California,Furniture,Furnishings,-0.353647,-0.756643,-0.106586,0
Xerox 1940,Corporate,United States,San Francisco,California,Office Supplies,Paper,-0.192451,-0.756643,0.107595,0
Xerox 1962,Corporate,United States,San Francisco,California,Office Supplies,Paper,-0.355092,-0.756643,-0.105891,0
Logitech ClearChat Comfort/USB Headset H390,Consumer,United States,Houston,Texas,Technology,Accessories,-0.29363,0.212153,-0.089826,1
"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Art,-0.33748,0.212153,-0.101486,1
"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Consumer,United States,San Diego,California,Furniture,Bookcases,0.291191,-0.030046,-0.142994,2
"DXL Angle-View Binders with Locking Rings, Black",Consumer,United States,San Diego,California,Office Supplies,Binders,-0.322692,0.212153,-0.08091,1
"Sauder Camden County Collection Libraries, Planked Cherry Finish",Consumer,United States,San Diego,California,Furniture,Bookcases,0.101636,-0.030046,-0.210688,2
"Acme 10"" Easy Grip Assistive Scissors",Home Office,United States,Suffolk,Virginia,Office Supplies,Supplies,-0.31257,-0.756643,-0.077434,0
Avery 476,Home Office,United States,Suffolk,Virginia,Office Supplies,Labels,-0.3622,-0.756643,-0.114225,0
Advantus Panel Wall Certificate Holder - 8.5x11,Home Office,United States,Suffolk,Virginia,Furniture,Furnishings,-0.192643,-0.756643,0.074532,0
Avery 478,Home Office,United States,Suffolk,Virginia,Office Supplies,Labels,-0.35307,-0.756643,-0.101794,0
Staple remover,Corporate,United States,Dallas,Texas,Office Supplies,Supplies,-0.357633,0.212153,-0.128292,1
"SAFCO Commercial Wire Shelving, 72h",Corporate,United States,Chicago,Illinois,Office Supplies,Storage,-0.211603,0.212153,-0.226908,1
Memorex Micro Travel Drive 8 GB,Corporate,United States,Chicago,Illinois,Technology,Accessories,-0.268701,0.212153,-0.039091,1
"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",Corporate,United States,Baltimore,Maryland,Office Supplies,Binders,-0.335355,-0.756643,-0.082263,0
Blackstonian Pencils,Corporate,United States,Baltimore,Maryland,Office Supplies,Art,-0.360258,-0.756643,-0.115953,0
Avery 488,Corporate,United States,Baltimore,Maryland,Office Supplies,Labels,-0.363772,-0.756643,-0.115881,0
Prang Colored Pencils,Consumer,United States,Los Angeles,California,Office Supplies,Art,-0.345239,-0.756643,-0.094096,0
Micropad Numeric Keypads,Consumer,United States,New York City,New York,Technology,Accessories,-0.2726,-0.756643,-0.058333,0
Safco Steel Mobile File Cart,Consumer,United States,New York City,New York,Office Supplies,Storage,-0.235069,-0.756643,-0.03337,0
Tops Wirebound Message Log Books,Corporate,United States,Franklin,Massachusetts,Office Supplies,Paper,-0.358269,-0.756643,-0.109414,0
"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Corporate,United States,Franklin,Massachusetts,Office Supplies,Binders,-0.171559,-0.756643,0.129582,0
Logitech Desktop MK120 Mouse and keyboard Combo,Corporate,United States,Milwaukee,Wisconsin,Technology,Accessories,-0.211321,-0.756643,-0.080431,0
ACCOHIDE Binder by Acco,Corporate,United States,Milwaukee,Wisconsin,Office Supplies,Binders,-0.315811,-0.756643,-0.056043,0
AT&T CL82213,Corporate,United States,Milwaukee,Wisconsin,Technology,Phones,-0.229276,-0.756643,-0.014666,0
Innergie mMini Combo Duo USB Travel Charging Kit,Corporate,United States,Kenosha,Wisconsin,Technology,Phones,-0.152256,-0.756643,0.154232,0
Maxell LTO Ultrium - 800 GB,Corporate,United States,Kenosha,Wisconsin,Technology,Accessories,-0.144265,-0.756643,-0.008821,0
Tops Green Bar Computer Printout Paper,Consumer,United States,New York City,New York,Office Supplies,Paper,-0.290298,-0.756643,-0.017874,0
"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",Consumer,United States,Madison,Wisconsin,Office Supplies,Art,-0.293989,-0.756643,-0.068577,0
"Companion Letter/Legal File, Black",Corporate,United States,Houston,Texas,Office Supplies,Storage,-0.271884,0.212153,-0.096544,1
Panasonic KP-380BK Classic Electric Pencil Sharpener,Home Office,United States,Olathe,Kansas,Office Supplies,Art,-0.195628,-0.756643,-0.007137,0
Iris Project Case,Home Office,United States,New York City,New York,Office Supplies,Storage,-0.26639,-0.756643,-0.051477,0
DXL Angle-View Binders with Locking Rings by Samsill,Home Office,United States,New York City,New York,Office Supplies,Binders,-0.309444,0.212153,-0.072965,1
OIC Bulk Pack Metal Binder Clips,Consumer,United States,Dallas,Texas,Office Supplies,Fasteners,-0.350907,0.212153,-0.106841,1
"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",Consumer,United States,Dallas,Texas,Office Supplies,Paper,-0.282256,0.212153,-0.047482,1
"Eldon Image Series Desk Accessories, Burgundy",Home Office,United States,Auburn,Washington,Furniture,Furnishings,-0.36212,-0.756643,-0.115912,0
Logitech Wireless Marathon Mouse M705,Consumer,United States,Philadelphia,Pennsylvania,Technology,Accessories,-0.240486,0.212153,-0.024169,1
Xerox 225,Corporate,United States,Los Angeles,California,Office Supplies,Paper,-0.296043,-0.756643,-0.029388,0
Mediabridge Sport Armband iPhone 5s,Corporate,United States,Tulsa,Oklahoma,Technology,Phones,-0.256618,-0.756643,-0.11935,0
Xerox 1929,Corporate,United States,Chicago,Illinois,Office Supplies,Paper,-0.28087,0.212153,-0.046283,1
"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Consumer,United States,Newark,Ohio,Furniture,Furnishings,-0.244311,0.212153,-0.002249,1
"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Consumer,United States,Newark,Ohio,Furniture,Furnishings,-0.361356,0.212153,-0.115627,1
KI Conference Tables,Corporate,United States,Los Angeles,California,Furniture,Tables,-0.095829,0.212153,-0.158651,2
Avery 501,Consumer,United States,Seattle,Washington,Office Supplies,Labels,-0.356985,-0.756643,-0.107528,0
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Consumer,United States,Seattle,Washington,Office Supplies,Art,-0.353968,-0.756643,-0.10929,0
Avery 513,Consumer,United States,Los Angeles,California,Office Supplies,Labels,-0.352845,-0.756643,-0.102777,0
Advantus Push Pins,Corporate,United States,Chicago,Illinois,Office Supplies,Fasteners,-0.357633,0.212153,-0.114518,1
"Global Stack Chair with Arms, Black",Corporate,United States,Chicago,Illinois,Furniture,Chairs,-0.267805,0.696552,-0.133854,3
Xerox 206,Corporate,United States,Chicago,Illinois,Office Supplies,Paper,-0.360509,0.212153,-0.11459,1
3M Hangers With Command Adhesive,Consumer,United States,Redmond,Oregon,Furniture,Furnishings,-0.349829,0.212153,-0.109068,1
"Seth Thomas 14"" Day/Date Wall Clock",Consumer,United States,Redmond,Oregon,Furniture,Furnishings,-0.332268,0.212153,-0.101667,1
Xerox 1931,Corporate,United States,Macon,Georgia,Office Supplies,Paper,-0.306441,-0.756643,-0.042666,0
Bevis Boat-Shaped Conference Table,Home Office,United States,Muskogee,Oklahoma,Furniture,Tables,0.051751,-0.756643,0.14621,0
Harbour Creations Steel Folding Chair,Corporate,United States,Monroe,North Carolina,Furniture,Chairs,-0.036678,0.212153,-0.011876,2
Xerox 1998,Corporate,United States,Austin,Texas,Office Supplies,Paper,-0.3106,0.212153,-0.068116,1
Newell 341,Consumer,United States,Meriden,Connecticut,Office Supplies,Art,-0.334489,-0.756643,-0.095842,0
Self-Adhesive Address Labels for Typewriters by Universal,Corporate,United States,Charlotte,North Carolina,Office Supplies,Labels,-0.340676,0.212153,-0.097058,1
9-3/4 Diameter Round Wall Clock,Corporate,United States,Charlotte,North Carolina,Furniture,Furnishings,-0.29802,0.212153,-0.070531,1
Honeywell Quietcare HEPA Air Cleaner,Corporate,United States,Charlotte,North Carolina,Office Supplies,Appliances,-0.267866,0.212153,-0.078687,1
Xerox 1916,Corporate,United States,Charlotte,North Carolina,Office Supplies,Paper,-0.243181,0.212153,0.003019,1
Hon Olson Stacker Stools,Corporate,United States,Bowling Green,Kentucky,Furniture,Chairs,-0.142885,-0.756643,0.045976,0
Round Specialty Laser Printer Labels,Corporate,United States,San Antonio,Texas,Office Supplies,Labels,-0.304489,0.212153,-0.064566,1
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Consumer,United States,Seattle,Washington,Technology,Accessories,-0.2235,-0.756643,-0.072072,0
Xerox 195,Home Office,United States,Washington,District of Columbia,Office Supplies,Paper,-0.304515,-0.756643,-0.040207,0
Flat Face Poster Frame,Home Office,United States,Washington,District of Columbia,Furniture,Furnishings,-0.308366,-0.756643,-0.054776,0
DMI Arturo Collection Mission-style Design Wood Chair,Corporate,United States,Los Angeles,California,Furniture,Chairs,0.212598,0.212153,-0.00632,2
Avery Non-Stick Binders,Corporate,United States,Los Angeles,California,Office Supplies,Binders,-0.357299,0.212153,-0.112752,1
"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Consumer,United States,South Bend,Indiana,Office Supplies,Storage,-0.313051,-0.756643,-0.080786,0
Xerox 1981,Consumer,United States,South Bend,Indiana,Office Supplies,Paper,-0.326466,-0.756643,-0.07162,0
"White Envelopes, White Envelopes with Clear Poly Window",Consumer,United States,South Bend,Indiana,Office Supplies,Envelopes,-0.197537,-0.756643,0.087292,0
Tops White Computer Printout Paper,Consumer,United States,South Bend,Indiana,Office Supplies,Paper,-0.211866,-0.756643,0.073932,0
Eldon Portable Mobile Manager,Consumer,United States,South Bend,Indiana,Office Supplies,Storage,-0.141938,-0.756643,0.040645,0
Staples in misc. colors,Corporate,United States,Los Angeles,California,Office Supplies,Art,-0.345528,-0.756643,-0.10188,0
Fellowes Bankers Box Stor/Drawer Steel Plus,Corporate,United States,Houston,Texas,Office Supplies,Storage,-0.163568,0.212153,-0.190596,1
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Corporate,United States,Bristol,Connecticut,Office Supplies,Appliances,-0.148004,-0.756643,0.136163,0
Classic Ivory Antique Telephone ZL1810,Corporate,United States,Bristol,Connecticut,Technology,Phones,-0.207582,-0.756643,-0.015088,0
"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Consumer,United States,New York City,New York,Furniture,Bookcases,0.044463,0.212153,-0.246035,2
Nokia Lumia 521 (T-Mobile),Consumer,United States,New York City,New York,Technology,Phones,-0.176341,-0.756643,0.021054,0
"Personal Filing Tote with Lid, Black/Gray",Consumer,United States,San Antonio,Texas,Office Supplies,Storage,-0.289188,0.212153,-0.101148,1
"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",Corporate,United States,Aurora,Colorado,Furniture,Furnishings,-0.328776,0.212153,-0.103689,1
"Howard Miller 12"" Round Wall Clock",Corporate,United States,Henderson,Nevada,Furniture,Furnishings,-0.053606,-0.756643,0.179575,0
Xerox 211,Home Office,United States,Philadelphia,Pennsylvania,Office Supplies,Paper,-0.318918,0.212153,-0.075862,1
Tennsco Industrial Shelving,Home Office,United States,Philadelphia,Pennsylvania,Office Supplies,Storage,-0.243258,0.212153,-0.197502,1
Xerox 1931,Consumer,United States,Seattle,Washington,Office Supplies,Paper,-0.358429,-0.756643,-0.109057,0
Newell 334,Corporate,United States,San Francisco,California,Office Supplies,Art,-0.209652,-0.756643,-0.01223,0
"Hon 30"" x 60"" Table with Locking Drawer",Corporate,United States,San Francisco,California,Furniture,Tables,0.068981,0.212153,-0.005857,2
Safco Drafting Table,Consumer,United States,Spokane,Washington,Furniture,Tables,-0.254933,-0.756643,-0.034462,0
Easy-staple paper,Home Office,United States,Columbus,Ohio,Office Supplies,Paper,-0.342794,0.212153,-0.097229,1
O'Sullivan Living Dimensions 5-Shelf Bookcases,Consumer,United States,Long Beach,New York,Furniture,Bookcases,-0.085162,0.212153,-0.216671,2
Panasonic KX-TG9471B,Consumer,United States,San Antonio,Texas,Technology,Phones,0.385932,0.212153,0.078467,2
Adtran 1202752G1,Consumer,United States,Los Angeles,California,Technology,Phones,0.116361,0.212153,-0.025523,2
Staple envelope,Consumer,United States,New York City,New York,Office Supplies,Envelopes,-0.321748,-0.756643,-0.05971,0
"Global Value Mid-Back Manager's Chair, Gray",Consumer,United States,New York City,New York,Furniture,Chairs,0.246703,-0.272245,0.150599,2
Avery 510,Consumer,United States,Keller,Texas,Office Supplies,Labels,-0.359199,0.212153,-0.113371,1
Ultra Door Pull Handle,Consumer,United States,San Francisco,California,Furniture,Furnishings,-0.318186,-0.756643,-0.077875,0
Staples,Home Office,United States,Hialeah,Florida,Office Supplies,Fasteners,-0.357428,0.212153,-0.1121,1
Fellowes Superior 10 Outlet Split Surge Protector,Consumer,United States,Fairfield,Ohio,Office Supplies,Appliances,-0.173401,0.212153,-0.063844,1
Xerox 1972,Corporate,United States,Huntington Beach,California,Office Supplies,Paper,-0.351882,-0.756643,-0.102049,0
Avery Hi-Liter Fluorescent Desk Style Markers,Corporate,United States,Huntington Beach,California,Office Supplies,Art,-0.363403,-0.756643,-0.116997,0
Staple envelope,Consumer,United States,Port Orange,Florida,Office Supplies,Envelopes,-0.356273,0.212153,-0.10981,1
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Consumer,United States,Medford,Oregon,Office Supplies,Paper,-0.329059,0.212153,-0.089272,1
Newell 309,Consumer,United States,Charlottesville,Virginia,Office Supplies,Art,-0.313228,-0.756643,-0.07796,0
Jiffy Padded Mailers with Self-Seal Closure,Consumer,United States,Miami,Florida,Office Supplies,Envelopes,-0.320997,0.212153,-0.076208,1
Fellowes Bankers Box Stor/Drawer Steel Plus,Consumer,United States,Florence,South Carolina,Office Supplies,Storage,-0.060939,-0.756643,-0.040422,0
"SKILCRAFT Telephone Shoulder Rest, 2"" x 6.5"" x 2.5"", Black",Home Office,United States,Detroit,Michigan,Technology,Phones,-0.345111,-0.756643,-0.1053,0
Xerox 218,Corporate,United States,Springfield,Oregon,Office Supplies,Paper,-0.360509,0.212153,-0.11459,1
Global Comet Stacking Armless Chair,Corporate,United States,Springfield,Oregon,Furniture,Chairs,0.398935,0.212153,0.081926,2
Memorex Froggy Flash Drive 8 GB,Corporate,United States,Springfield,Oregon,Technology,Accessories,-0.323257,0.212153,-0.093541,1
Hand-Finished Solid Wood Document Frame,Corporate,United States,Los Angeles,California,Furniture,Furnishings,-0.149127,-0.756643,0.053017,0
"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",Consumer,United States,Oceanside,New York,Furniture,Furnishings,-0.338404,-0.756643,-0.085913,0
Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,Corporate,United States,Los Angeles,California,Technology,Accessories,-0.209347,-0.756643,0.051625,0
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Consumer,United States,Roswell,Georgia,Technology,Accessories,-0.128219,-0.756643,0.159323,0
Avery 474,Home Office,United States,Boynton Beach,Florida,Office Supplies,Labels,-0.361433,0.212153,-0.115205,1
Staples in misc. colors,Home Office,United States,Boynton Beach,Florida,Office Supplies,Art,-0.343911,0.212153,-0.10162,1
Avery 499,Home Office,United States,Boynton Beach,Florida,Office Supplies,Labels,-0.349649,0.212153,-0.105753,1
American Pencil,Consumer,United States,Franklin,Massachusetts,Office Supplies,Art,-0.350133,-0.756643,-0.107913,0
Staple magnet,Corporate,United States,Reading,Pennsylvania,Office Supplies,Storage,-0.344745,0.212153,-0.115929,1
Newell 345,Corporate,United States,Arlington,Texas,Office Supplies,Art,-0.292423,0.212153,-0.10709,1
Xerox 1960,Consumer,United States,San Diego,California,Office Supplies,Paper,-0.219697,-0.756643,0.056206,0
Logitech Wireless Headset h800,Corporate,United States,San Francisco,California,Technology,Accessories,-0.047942,-0.756643,0.176463,0
Avaya 4621SW VoIP phone,Consumer,United States,Los Angeles,California,Technology,Phones,-0.084045,0.212153,-0.037099,2
"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Consumer,United States,Denver,Colorado,Office Supplies,Paper,-0.226391,0.212153,0.010296,1
Xerox 214,Home Office,United States,Seattle,Washington,Office Supplies,Paper,-0.358429,-0.756643,-0.109057,0
Safco Commercial Shelving,Home Office,United States,Seattle,Washington,Office Supplies,Storage,-0.294198,-0.756643,-0.114394,0
Motorola Moto X,Consumer,United States,Scottsdale,Arizona,Technology,Phones,0.067608,0.212153,-0.020737,2
O'Sullivan 2-Shelf Heavy-Duty Bookcases,Consumer,United States,Lafayette,Louisiana,Furniture,Bookcases,-0.134975,-0.756643,-0.02279,0
Longer-Life Soft White Bulbs,Consumer,United States,Lafayette,Louisiana,Furniture,Furnishings,-0.344116,-0.756643,-0.090779,0
Enermax Briskie RF Wireless Keyboard and Mouse Combo,Corporate,United States,San Francisco,California,Technology,Accessories,-0.102209,-0.756643,0.133024,0
Ultra Door Push Plate,Home Office,United States,San Francisco,California,Furniture,Furnishings,-0.345191,-0.756643,-0.101584,0
"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Consumer,United States,Broomfield,Colorado,Office Supplies,Storage,-0.315092,0.212153,-0.127696,1
Avery 505,Corporate,United States,Quincy,Illinois,Office Supplies,Labels,-0.292834,0.212153,-0.046519,1
Advantus Rolling Storage Box,Corporate,United States,Quincy,Illinois,Office Supplies,Storage,-0.324797,0.212153,-0.112086,1
Logitech Trackman Marble Mouse,Corporate,United States,Carrollton,Texas,Technology,Accessories,-0.214838,0.212153,-0.009672,1
Xerox 206,Corporate,United States,Carrollton,Texas,Office Supplies,Paper,-0.35219,0.212153,-0.106844,1
Newell 324,Corporate,United States,New York City,New York,Office Supplies,Art,-0.331761,-0.756643,-0.094724,0
DAX Cubicle Frames - 8x10,Corporate,United States,New York City,New York,Furniture,Furnishings,-0.35031,-0.756643,-0.107556,0
Fellowes Basic Home/Office Series Surge Protectors,Corporate,United States,New York City,New York,Office Supplies,Appliances,-0.347999,-0.756643,-0.106266,0
"ACCOHIDE 3-Ring Binder, Blue, 1""",Corporate,United States,New York City,New York,Office Supplies,Binders,-0.326414,0.212153,-0.084253,1
Cisco SPA508G,Corporate,United States,New York City,New York,Technology,Phones,-0.051167,-0.756643,0.122752,0
Avery 518,Corporate,United States,New York City,New York,Office Supplies,Labels,-0.3385,-0.756643,-0.083607,0
BIC Brite Liner Grip Highlighters,Corporate,United States,New York City,New York,Office Supplies,Art,-0.360932,-0.756643,-0.112884,0
WD My Passport Ultra 2TB Portable External Hard Drive,Corporate,United States,New York City,New York,Technology,Accessories,0.013065,-0.756643,0.040227,0
Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Corporate,United States,New York City,New York,Technology,Accessories,-0.099305,-0.756643,0.049759,0
Xerox 1962,Corporate,United States,New York City,New York,Office Supplies,Paper,-0.341356,-0.756643,-0.089447,0
3M Organizer Strips,Consumer,United States,Springfield,Missouri,Office Supplies,Binders,-0.342833,-0.756643,-0.08914,0
"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Consumer,United States,Springfield,Missouri,Office Supplies,Appliances,-0.314287,-0.756643,-0.059941,0
Logitech G105 Gaming Keyboard,Consumer,United States,Springfield,Missouri,Technology,Accessories,0.107494,-0.756643,0.105769,0
Imation Clip USB flash drive - 8 GB,Consumer,United States,Springfield,Missouri,Technology,Accessories,-0.18783,-0.756643,-0.093443,0
Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,Consumer,United States,Springfield,Missouri,Office Supplies,Binders,-0.346828,-0.756643,-0.094242,0
Xerox 1970,Consumer,United States,Springfield,Missouri,Office Supplies,Paper,-0.328873,-0.756643,-0.072376,0
Fellowes Stor/Drawer Steel Plus Storage Drawers,Consumer,United States,Springfield,Missouri,Office Supplies,Storage,0.09055,-0.756643,-0.049006,0
Acco 6 Outlet Guardian Standard Surge Suppressor,Consumer,United States,Springfield,Missouri,Office Supplies,Appliances,-0.330028,-0.756643,-0.091368,0
